k,fee,max_slippage,seed,hybrid_spread_mean,hybrid_depth_mean,hybrid_volume_mean,original_spread_mean,original_depth_mean,original_volume_mean,spread_mean,spread_t,spread_p,depth_mean,depth_t,depth_p,volume_mean,volume_t,volume_p
100000000000.0,0.05,0.5,91011,-1399.2833815344927,464.4010964011853,366.965,3.6966666666666668,462.37833333333333,528.4916666666667,-1402.9800482011594,-34.25894223280827,2.9999973701341274e-143,2.0227630678519564,0.04320042488635835,0.96555616282664,-161.52666666666667,-1.2315668331434197,0.2185942160473745
10000000000.0,0.02,0.1,5678,-225.7877648424536,409.76139202160084,366.18333333333334,3.6966666666666668,462.37833333333333,528.4916666666667,-229.48443150912027,-40.30454218887482,9.665364568458033e-173,-52.61694131173249,-1.0128812891538312,0.3115258216169467,-162.30833333333334,-1.156299879912493,0.248019475417673
500000000000.0,0.01,0.2,121314,-625.849461633027,546.0341269599279,361.4116666666667,3.6966666666666668,462.37833333333333,528.4916666666667,-629.5461282996936,-45.60476994864236,5.485978493721633e-197,83.65579362659453,1.6996205822542603,0.08972148347492871,-167.08,-1.1399863016619638,0.25474763343329687
500000000000.0,0.01,0.2,121314,-625.849461633027,546.0341269599279,361.4116666666667,3.6966666666666668,462.37833333333333,528.4916666666667,-629.5461282996936,-45.60476994864236,5.485978493721633e-197,83.65579362659453,1.6996205822542603,0.08972148347492871,-167.08,-1.1399863016619638,0.25474763343329687
100000000000.0,0.05,0.5,5678,-1409.884685550712,529.1100945877695,363.62666666666667,3.6966666666666668,462.37833333333333,528.4916666666667,-1413.5813522173785,-37.75574719199128,1.5356912637874848e-160,66.73176125443624,1.2383984161976274,0.21605347592901297,-164.865,-1.1703051364567065,0.24234359656699547
500000000000.0,0.001,0.1,91011,-376.8641510300445,513.3313446814449,360.0083333333333,3.6966666666666668,462.37833333333333,528.4916666666667,-380.5608176967112,-45.139534680017675,6.404467473754476e-195,50.95301134811154,1.0930198149034787,0.27482447967410295,-168.48333333333332,-1.2857682948741493,0.199020766558743
500000000000.0,0.02,0.05,1235,-62.79880517218672,737.6630656075268,446.8616666666667,3.6966666666666668,462.37833333333333,528.4916666666667,-66.49547183885339,-25.053501959908708,2.6447534397648054e-95,275.2847322741935,2.896147210049476,0.003915604392153204,-81.63,-0.49331081244232045,0.6219737959684648
500000000000.0,0.001,0.5,5678,-1464.9873452117713,602.0340650290531,356.78,3.6966666666666668,462.37833333333333,528.4916666666667,-1468.684011878438,-39.88477746250232,9.346248171239441e-171,139.6557316957198,2.625861370596236,0.008863880728452012,-171.71166666666667,-1.2189234951393546,0.22335303593954603
500000000000.0,0.02,0.05,1235,-62.79880517218672,737.6630656075268,446.8616666666667,3.6966666666666668,462.37833333333333,528.4916666666667,-66.49547183885339,-25.053501959908708,2.6447534397648054e-95,275.2847322741935,2.896147210049476,0.003915604392153204,-81.63,-0.49331081244232045,0.6219737959684648
100000000000.0,0.001,0.05,5678,-167.780148846158,485.65392057724256,363.06166666666667,3.6966666666666668,462.37833333333333,528.4916666666667,-171.47681551282466,-53.81288524679168,1.3711287696405096e-231,23.27558724390915,0.44355617086369387,0.6575236668648854,-165.43,-1.176459877123853,0.23987846971373827
50000000000.0,0.05,0.05,121314,5.990959889509987,440.9767584627057,384.7416666666667,3.6966666666666668,462.37833333333333,528.4916666666667,2.2942932228433204,1.63974253557488,0.10158373693192269,-21.401574870627712,-0.43381942420854014,0.6645757742020505,-143.75,-0.9801891884218178,0.3273884551871714
100000000000.0,0.02,0.1,91011,-251.82077143790667,465.2503105915677,379.68333333333334,3.6966666666666668,462.37833333333333,528.4916666666667,-255.51743810457333,-37.323962049785955,1.9385456353499228e-158,2.8719772582344496,0.06150961662449145,0.9509738734143756,-148.80833333333334,-1.1339729408164896,0.25725951666704
500000000000.0,0.05,0.5,121314,-919.1967429912837,573.064800145768,376.7133333333333,3.6966666666666668,462.37833333333333,528.4916666666667,-922.8934096579504,-31.192471578332505,1.321386783785724e-127,110.68646681243466,2.2436907593979094,0.025216859939386254,-151.77833333333334,-1.0348327616310364,0.3011646141573119
10000000000.0,0.001,0.1,121314,-362.77791698653647,409.916539760276,371.69666666666666,3.6966666666666668,462.37833333333333,528.4916666666667,-366.4745836532031,-59.571396224309225,7.099388293814636e-254,-52.461793573057285,-1.0681584103912214,0.2858793428939719,-156.795,-1.069672672278782,0.2851975159913106
500000000000.0,0.01,0.5,5678,-1372.1049760668147,583.4693140677956,370.4066666666667,3.6966666666666668,462.37833333333333,528.4916666666667,-1375.8016427334812,-37.67752419302542,3.683238575802673e-160,121.09098073446228,2.3179814323968726,0.020786276305045974,-158.085,-1.1194841968172915,0.26338232114096255
500000000000.0,0.05,0.1,91011,-62.95475142476806,496.94076419141504,376.63666666666666,3.6966666666666668,462.37833333333333,528.4916666666667,-66.65141809143473,-23.159680837798586,3.167105069064319e-85,34.562430858081726,0.7406091121540237,0.4592206863575422,-151.855,-1.156992013444695,0.24773680385226662
10000000000.0,0.001,0.5,5678,-1706.0228571845796,428.4755414436595,379.16833333333335,3.6966666666666668,462.37833333333333,528.4916666666667,-1709.7195238512463,-32.905133136988894,2.1489069506569036e-136,-33.902791889673814,-0.6576644133610517,0.5110064367245863,-149.32333333333332,-1.048516505420606,0.2948235704055235
