EventTime,Δspread,Δdepth,Δvolume
2025-10-28 09:33:48,0.0,-100988.0,-15.0
2025-10-28 09:33:49,0.0,824.0,-15.0
2025-10-28 09:33:50,0.0,883.0,-227.0
2025-10-28 09:33:51,0.0,106.0,60.0
2025-10-28 09:33:52,0.0,247.0,29.0
2025-10-28 09:33:53,0.0,206.0,-2.0
2025-10-28 09:33:54,0.0,448.0,-251.0
2025-10-28 09:33:55,0.0,385.0,35.0
2025-10-28 09:33:56,0.0,234.0,138.0
2025-10-28 09:33:57,0.0,-121.0,248.0
2025-10-28 09:33:58,1.0,99651.0,69.0
2025-10-28 09:33:59,-1.0,-380.0,69.0
2025-10-28 09:34:00,0.0,-938.0,-28.0
2025-10-28 09:34:01,0.0,430.0,-84.0
2025-10-28 09:34:02,0.0,304.0,-122.0
2025-10-28 09:34:03,0.0,156.0,-18.0
2025-10-28 09:34:04,0.0,218.0,-46.0
2025-10-28 09:34:05,0.0,-120.0,144.0
2025-10-28 09:34:06,0.0,100224.0,-124.0
2025-10-28 09:34:07,0.0,322.0,-61.0
2025-10-28 09:34:08,0.0,240.0,100.0
2025-10-28 09:34:09,0.0,184.0,81.0
2025-10-28 09:34:10,0.0,147.0,92.0
2025-10-28 09:34:11,0.0,-113.0,79.0
2025-10-28 09:34:12,0.0,213.0,-249.0
2025-10-28 09:34:13,-2.0,-78.0,-21.0
2025-10-28 09:34:14,-1.0,99758.0,-123.0
2025-10-28 09:34:15,0.0,99968.0,123.0
2025-10-28 09:34:16,0.0,99956.0,-85.0
2025-10-28 09:34:17,0.0,99559.0,72.0
2025-10-28 09:34:18,0.0,-297.0,99.0
2025-10-28 09:34:19,0.0,-264.0,9.0
2025-10-28 09:34:20,0.0,-187.0,43.0
2025-10-28 09:34:21,0.0,-209.0,80.0
2025-10-28 09:34:22,0.0,-91.0,-70.0
2025-10-28 09:34:23,0.0,-330.0,-60.0
2025-10-28 09:34:24,3.0,-418.0,209.0
2025-10-28 09:34:25,0.0,-415.0,-378.0
2025-10-28 09:34:26,0.0,-535.0,119.0
2025-10-28 09:34:27,0.0,-480.0,15.0
2025-10-28 09:34:28,0.0,-319.0,-260.0
2025-10-28 09:34:29,0.0,-350.0,26.0
2025-10-28 09:34:30,0.0,-538.0,71.0
2025-10-28 09:34:31,0.0,-469.0,-108.0
2025-10-28 09:34:32,0.0,-125.0,-113.0
2025-10-28 09:34:33,3.0,-2600.0,29.0
2025-10-28 09:34:34,0.0,-2412.0,-141.0
2025-10-28 09:34:35,0.0,-102279.0,97.0
2025-10-28 09:34:36,0.0,-2125.0,-21.0
